A	B	C
0.8716642425700496	0.04209220784618649	0.08624354958376407
0.020724756029938746	0.254232896883714	0.7250423470863475
0.8713865653141727	0.010511453530809645	0.11810198115501784
0.05460756255416053	0.05437342422672506	0.8910190132191146
0.8455652148452878	0.013216462648325628	0.14121832250638683
0.06984990508708706	0.26974294116157793	0.6604071537513352
0.2256216022101094	0.2363128067579765	0.5380655910319141
0.2851830217196603	0.07303288245414598	0.6417840958261939
0.5431460200328901	0.029018971516975765	0.4278350084501343
0.5883261916458891	0.02744212888033793	0.38423167947377307
